Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2024-08-06,159.9650115966797,161.76854176630374,157.56365468246898,160.36857505755367,36146500
2024-08-07,160.1742706298828,164.19979459850455,159.66610267866855,162.65535811810648,19334200
2024-08-08,163.25318908691406,164.90724730098054,161.4496741925987,161.7625449521268,15733600
2024-08-09,164.7976531982422,164.92719246706665,160.35362004988897,161.06607082428397,13549200
2024-08-12,163.36280822753906,166.10295907223568,162.96424691360264,165.40048221300762,12435000
2024-08-13,165.33570861816406,165.9435244900484,164.1798747537791,164.59338172697963,12717600
2024-08-14,161.44969177246094,164.36920594570728,158.95864546948013,163.62189205481303,22515900
2024-08-15,162.58560180664062,162.93435435683165,160.9116260556583,161.62904857869057,18392500
2024-08-16,164.1499786376953,166.35205486717328,162.49592038476501,162.82474029317686,16853100
2024-08-19,167.79685974121094,167.8666163302166,165.49513557024594,166.40188000248637,13100800
2024-08-20,168.35487365722656,169.79967741743286,168.05594507135712,168.1356603745316,12622500
2024-08-21,167.02963256835938,168.03600974702022,165.97343142549687,166.39192535734017,15269600
2024-08-22,164.8972930908203,168.81321026159983,164.43893391865004,168.43456638911738,19123800
2024-08-23,166.83035278320312,167.34849469336507,165.06670287284877,165.9535147861683,14281600
2024-08-26,167.32855224609375,168.77337124165066,165.72433304902341,167.5527524913739,11990300
2024-08-27,165.78411865234375,167.6424294663076,165.56490536104474,167.0097091779591,13718200
2024-08-28,163.91082763671875,166.79047621925304,162.69519596618224,166.18266038398477,15208700
2024-08-29,162.8147735595703,167.02963467718953,161.40185288464895,165.46525036551398,17133800
2024-08-30,164.51864624023438,164.68803554745267,162.8247379639128,163.63183445295118,18498800
2024-09-03,158.0419464111328,162.79486713938573,157.28964554252158,162.7300975011423,26533100
2024-09-04,157.2447967529297,159.82551694837377,156.87612678333463,157.5088470400444,17410700
2024-09-05,158.03196716308594,160.43831095253145,156.95583344724037,157.2148967624086,14139500
2024-09-06,151.58514404296875,158.64974722214538,151.39083514674604,158.1216466586556,24999100
2024-09-09,149.20054626464844,154.28897565317735,147.86359163991898,153.28127377468468,28057700
2024-09-10,149.6694793701172,151.95428971091056,149.2035441865461,151.10621307846455,20401800
2024-09-11,151.80462646484375,152.13387922005617,148.36246071366355,150.74703500975997,18991500
2024-09-12,155.1869354248047,155.25678384046466,153.15157268835566,154.4585967034471,21024100
2024-09-13,158.01051330566406,158.91345784103444,155.755648728388,156.0070756210139,16733900
2024-09-16,158.62911987304688,158.8785524071565,157.25224741303262,157.9706143292006,14157600
2024-09-17,159.9161834716797,161.22320750164613,159.0481631332768,159.7266123117633,12064800
2024-09-18,160.44497680664062,161.26312280572637,159.29759326798978,160.48489453662953,16756500
2024-09-19,162.86947631835938,164.6155040932057,162.15310375152245,164.4458917934048,17548200
2024-09-20,164.2662811279297,164.37603204660826,162.8095885003916,164.14655838906322,46362700
2024-09-23,162.69985961914062,166.23181758098326,162.58012165110702,164.96469605302332,15648400
2024-09-24,163.2685546875,164.176492741931,161.6622086004887,163.87717066392423,18774100
2024-09-25,162.62002563476562,163.84423017025003,162.4055021045772,162.6000667710883,13607900
2024-09-26,163.4581298828125,165.12433738176023,163.1288771112858,164.65540300026643,18234500
2024-09-27,164.91481018066406,166.59100475314528,163.4581326837826,163.5379529228678,13604300
2024-09-30,166.8105010986328,166.9801133920327,164.26628624932783,164.40596785707794,14070100
2024-10-01,168.03770446777344,170.05312356675083,165.5234203103271,168.47670815509065,18629500
2024-10-02,166.9302215576172,168.49666513124245,165.87263008138385,167.37919706037525,12745000
2024-10-03,166.83045959472656,167.52886763193206,164.994624608732,165.4436153407923,11004300
2024-10-04,168.17738342285156,169.1651417037373,166.58102439541923,168.95561168385737,11422100
2024-10-07,164.016845703125,169.51433291164238,163.7574413654542,168.7560635386529,14034700
2024-10-08,165.32386779785156,165.72296895610333,163.9370236242508,165.0544764190507,11723900
2024-10-09,162.6898651123047,165.8825983372775,160.75426631287192,164.48078878674917,19666400
2024-10-10,162.80958557128906,163.93803021658485,161.27308796158508,161.7420223125794,12900500
2024-10-11,164.1465606689453,164.89485824555993,162.1311415998337,162.95925941151893,10946000
2024-10-14,165.972412109375,167.23951840464235,164.40596850811767,164.53567829588263,9981800
2024-10-15,166.52114868164062,168.70618005069358,165.67308722562564,166.7606093878907,14829300
2024-10-16,166.3615264892578,166.90029405802036,164.8409837085831,165.65313140202477,9968500
2024-10-17,164.13658142089844,167.54881670544276,163.99689980892833,167.0000773025163,15113400
2024-10-18,164.67535400390625,165.99234980298428,164.3760319327944,164.49575467157797,13091300
2024-10-21,165.4236602783203,165.8427051102763,163.93204336640198,164.20642828942988,11384000
2024-10-22,166.44134521484375,167.08986370041146,164.29621633151714,164.32614701705697,11958600
2024-10-23,164.1066436767578,167.2195719618869,163.26156615464373,166.05221433986773,12754300
2024-10-24,164.1565399169922,164.67536385635017,162.40054033844325,164.21640128996543,12764400
2024-10-25,166.61094665527344,167.0200044057247,164.85493202249762,164.98963532280627,14566400
2024-10-28,167.9578857421875,170.21874866254464,165.41367087628183,170.20277852548895,20858300
2024-10-29,170.75152587890625,171.46989275694872,168.27715953462263,169.0005047106586,28916100
2024-10-30,175.7401885986328,183.37281818194802,175.34608092530422,181.9959609227769,49698300
2024-10-31,172.2980194091797,178.0150088186449,172.1683096199305,174.32341036482913,32801900
2024-11-01,172.2581024169922,173.42546007693375,169.92341754541656,171.15062135368265,21752900
2024-11-04,170.2925567626953,171.52974749911522,169.1002772755517,170.8512983761494,16194000
2024-11-05,171.0209197998047,171.70635684531885,169.98327197206876,170.4422345159045,12518300
2024-11-06,177.9252166748047,178.23451058056995,174.64267600746507,174.95198513738399,27061500
2024-11-07,181.86624145507812,182.16556352998285,178.48393702420717,178.70343886419374,16730400
2024-11-08,179.45175170898438,181.9361053506888,179.16241665392053,181.58689369622658,15021500
2024-11-11,181.55694580078125,181.67169024189303,179.58144448419563,179.6612647183404,12503400
2024-11-12,182.90390014648438,183.6072865116738,180.57918704795912,180.9683012011966,14065800
2024-11-13,180.080322265625,182.2004988580566,179.71115175357687,181.7365427627674,13969700
2024-11-14,176.94744873046875,180.03542477204525,175.6304376208683,179.34199500809183,17925800
2024-11-15,173.4952850341797,175.4807733973284,172.35287981643725,175.24131269462887,21708900
2024-11-18,176.39869689941406,176.50844782695492,174.0240942257961,174.55788351993363,18725400
2024-11-19,179.17236328125,179.76102035391557,174.71849185468582,174.83722501844,15392900
2024-11-20,176.92747497558594,178.7034332806034,174.93201483744025,178.42407007919522,15729800
2024-11-21,168.85585021972656,175.18145549789298,164.93476294944196,175.05673923346154,38839400
2024-11-22,166.19192504882812,167.88306980424588,165.33387647649843,166.780582207106,24497000
2024-11-25,169.04541015625,170.0730862057209,167.02001919185565,167.60869154426803,21395700
2024-11-26,170.2327117919922,171.10572566539952,169.04541048829364,169.10528708504503,14937500
2024-11-27,170.43226623535156,170.75153195687213,169.2848674640083,170.29256940350413,12433400
2024-11-29,170.10301208496094,170.48213917467183,168.36695621133114,169.67398022072197,9250700
2024-12-02,172.5873565673828,173.2059596109549,169.88351639450627,169.93340594668766,16593400
2024-12-03,172.6272735595703,173.92432578996255,172.11842144331467,172.727037439352,15721500
2024-12-04,175.69029235839844,176.02951694382102,172.3578774269222,172.38780811245044,18239800
